clay,sand,bd,h333,h15000
1.0,49.0,1.216,0.341,0.27
26.0,36.0,1.253,0.34299999999999997,0.27399999999999997
54.0,33.0,1.25,0.373,0.29
32.0,30.0,1.341,0.43,0.331
57.0,34.0,1.253,0.409,0.316
59.0,36.0,1.224,0.38799999999999996,0.307
30.0,45.0,1.325,0.365,0.262
27.0,43.0,1.2830000000000001,0.424,0.275
42.0,39.0,1.364,0.355,0.28800000000000003
51.0,34.0,1.255,0.423,0.28300000000000003
49.0,31.0,1.287,0.462,0.327
38.0,32.0,1.228,0.442,0.251
45.0,43.0,1.3,0.449,0.311
46.0,35.0,1.308,0.45899999999999996,0.307
27.0,37.0,1.314,0.42200000000000004,0.29100000000000004
9.0,42.0,1.234,0.385,0.23399999999999999
32.0,36.0,1.2429999999999999,0.43700000000000006,0.25
41.0,43.0,1.354,0.433,0.261
23.0,32.0,1.5619999999999998,0.382,0.253
34.0,42.0,1.548,0.414,0.281
33.0,45.0,1.5759999999999998,0.413,0.293
23.0,47.0,1.536,0.38299999999999995,0.237
35.0,42.0,1.485,0.354,0.281
42.0,40.0,1.39,0.41200000000000003,0.252
25.0,41.0,1.291,0.397,0.262
44.0,32.0,1.2890000000000001,0.41200000000000003,0.27
50.0,33.0,1.331,0.4,0.27
43.0,31.0,1.227,0.365,0.23800000000000002
27.0,42.0,1.219,0.36200000000000004,0.23199999999999998
31.0,35.0,1.16,0.335,0.215
28.0,36.0,1.213,0.41100000000000003,0.285
47.0,23.0,1.287,0.41700000000000004,0.293
47.0,29.0,1.148,0.38299999999999995,0.257
55.0,32.0,1.285,0.363,0.23399999999999999
37.0,40.0,1.317,0.32899999999999996,0.16
32.0,47.0,1.3,0.257,0.16399999999999998
27.0,58.0,1.256,0.355,0.257
41.0,34.0,1.3,0.37,0.259
42.0,34.0,1.195,0.335,0.248
41.0,34.0,1.2670000000000001,0.423,0.298
44.0,29.0,1.296,0.429,0.318
41.0,29.0,1.249,0.444,0.307
47.0,26.0,1.3880000000000001,0.358,0.261
41.0,36.0,1.296,0.355,0.264
36.0,44.0,1.28,0.32799999999999996,0.245
35.0,46.0,1.528,0.324,0.263
38.0,42.0,1.4969999999999999,0.34700000000000003,0.26
37.0,45.0,1.425,0.363,0.249
39.0,40.0,1.554,0.375,0.258
38.0,42.0,1.3980000000000001,0.359,0.23600000000000002
40.0,41.0,1.439,0.392,0.27399999999999997
37.0,37.0,1.151,0.397,0.289
42.0,28.0,1.145,0.41,0.306
44.0,23.0,1.204,0.424,0.318
46.0,23.0,1.287,0.409,0.318
50.0,18.0,1.32,0.42200000000000004,0.327
50.0,19.0,1.27,0.41200000000000003,0.305
51.0,18.0,1.185,0.389,0.305
50.0,17.0,1.2309999999999999,0.425,0.322
45.0,16.0,1.236,0.41200000000000003,0.32
49.0,20.0,1.2229999999999999,0.425,0.294
